lat,long,Company,Revenue_2021,Revenue_per_change_2021,Profits_in_millions_2021,Market_value_2021,Employees_2021,Revenue_2022,Revenue_per_change_2022,Profits_in_millions_2022,Market_value_2022,Employees_2022,Sector,City,State,Ceo_woman
36.3728538,-94.2088172,Walmart,559151,0.067,13510,382642.8,2300000,572754,2.4,13673,409795,2300000,Retailing,Bentonville,AR,no
47.6038321,-122.330062,Amazon,386064,0.376,21331,1558069.6,1298000,469822,21.7,33364,1658807.3,1608000,Retailing,Seattle,WA,no
37.3228934,-122.0322895,Apple,274515,0.055,57411,2050665.9,147000,365817,33.3,94680,2849537.6,154000,Technology,Cupertino,CA,no
42.0028761,-71.5147839,CVS Health,268706,0.046,7179,98653.2,256500,292111,8.7,7910,132839.2,258000,Health Care,Woonsocket,RI,yes
44.9405086,-93.4638936,UnitedHealth Group,257141,0.062,15403,351725,330000,287597,11.8,17285,479830.3,350000,Health Care,Minnetonka,MN,no
32.8295183,-96.9442177,Exxon Mobil,181502,-0.315,-22440,236355.4,72000,285640,57.4,23040,349652.4,63000,Energy,Irving,TX,no
41.2587459,-95.9383758,Berkshire Hathaway,245510,-0.036,42521,587823,360000,276094,12.5,89795,779542.3,372000,Financials,Omaha,NE,no
49.133333,-113.6,Alphabet,182527,0.128,40269,1392561.8,135301,257637,41.2,76033,1842326.1,156500,Technology,Mountain View,CA,no
32.8295183,-96.9442177,McKesson,231051,0.078,900,31044,70000,238228,3.1,-4539,45857.8,67500,Health Care,Irving,TX,no
40.0792766,-75.3015714,AmerisourceBergen,189893.9,0.057,-3408.7,24169.7,21500,213988.8,12.7,1539.9,32355.7,40000,Health Care,Conshohocken,PA,no
47.5348778,-122.0432974,Costco Wholesale,166761,0.092,4002,155984.3,214500,195929,17.5,5007,255230.7,288000,Retailing,Issaquah,WA,no
41.826488,-72.7300945,Cigna,160401,0.045,8458,83976.1,72963,174078,8.5,5365,76286.3,72963,Health Care,Bloomfield,CT,no
32.7762719,-96.7968559,AT&T,171760,-0.052,-5176,215878.5,230760,168864,-1.7,20081,169262.4,202600,Telecommunications,Dallas,TX,no
47.6694141,-122.1238767,Microsoft,143015,0.136,44281,1778228.2,163000,168088,17.5,61271,2311358.9,181000,Technology,Redmond,WA,no
40.0992294,-83.1140771,Cardinal Health,152922,0.051,-3696,17840.3,48000,162467,6.2,611,15709.4,46827,Health Care,Dublin,OH,no
37.7648021,-121.9544387,Chevron,94692,-0.354,-5543,201865,47736,162465,71.6,15625,317120.1,42595,Energy,San Ramon,CA,no
33.7489924,-84.3902644,Home Depot,132110,0.199,12866,328775.4,504800,151157,14.4,16433,309312.6,490600,Retailing,Atlanta,GA,no
42.1711365,-87.8445119,Walgreens Boots Alliance,139537,0.02,456,47455.3,277000,148579,6.5,2542,38671.1,258500,Food & Drug Stores,Deerfield,IL,yes
41.0413873,-83.6503982,Marathon Petroleum,88952,-0.287,-9826,34873.8,57900,141032,58.5,9738,47758.1,17700,Energy,Findlay,OH,no
39.1014537,-84.5124602,Kroger,132498,0.084,2585,27064.3,465000,137888,4.1,1655,41496.2,420000,Food & Drug Stores,Cincinnati,OH,no
42.3222599,-83.1763145,Ford Motor,127144,-0.184,-1279,48739,186000,136341,7.2,17937,67958.2,183000,Motor Vehicles & Parts,Dearborn,MI,no
40.7127281,-74.0060152,Verizon Communications,128292,-0.027,17801,240633.3,132200,133613,4.1,22065,213837.1,118400,Telecommunications,New York,NY,no
40.7127281,-74.0060152,JPMorgan Chase,129503,-0.091,29131,464530.8,255351,127202,-1.8,48334,402526.9,271025,Financials,New York,NY,no
42.3315509,-83.0466403,General Motors,122485,-0.107,6427,82794.9,155000,127004,3.7,10019,63555.2,157000,Motor Vehicles & Parts,Detroit,MI,yes
38.6280278,-90.1910154,Centene,111115,0.489,1808,37169.6,71300,125982,13.4,1347,49072.2,72500,Health Care,St. Louis,MO,yes
37.4519671,-122.177992,Meta Platforms,85965,0.216,29146,838724.2,58604,117929,37.2,39370,605251,71970,Technology,Menlo Park,CA,no
39.9527237,-75.1635262,Comcast,103564,-0.049,10534,247859.3,168000,116385,12.4,14159,212245.8,189000,Telecommunications,Philadelphia,PA,no
29.7589382,-95.3676974,Phillips 66,65494,-0.402,-3975,35703.6,14300,114852,75.4,1317,41561,14000,Energy,Houston,TX,no
29.4246002,-98.4951405,Valero Energy,60115,-0.415,-1421,29267.2,9964,108332,80.2,930,41572.2,9804,Energy,San Antonio,TX,no
30.5085915,-97.6788056,Dell Technologies,94224,0.022,3250,67229.1,158000,106995,13.6,5563,38164.4,133000,Technology,Round Rock,TX,no
44.9772995,-93.2654692,Target,93561,0.198,4368,98760.9,409000,106005,13.3,6946,98134.4,450000,Retailing,Minneapolis,MN,no
38.8950368,-77.0365427,Fannie Mae,106437,-0.115,11805,2397.2,7700,101543,-4.6,22176,909.1,7400,Financials,Washington,DC,no
35.5848596,-80.8100724,Lowe's,89597,0.242,5835,136407.9,280000,96250,7.4,8442,133761.1,270000,Retailing,Mooresville,NC,no
35.2272086,-80.8430827,Bank of America,93753,-0.175,17894,333788.4,212505,93851,0.1,31978,332433.3,208248,Financials,Charlotte,NC,no
40.4862174,-74.4518173,Johnson & Johnson,82584,0.006,14714,432685.3,134500,93775,13.6,20878,466046.7,141700,Health Care,New Brunswick,NJ,no
35.1460249,-90.0517638,FedEx,69217,-0.007,1286,75367.8,418000,83959,21.3,5231,59971.3,484000,Transportation,Memphis,TN,no
38.2542376,-85.759407,Humana,77155,0.189,3367,54087.7,48700,83064,7.7,2933,55154.9,95500,Health Care,Louisville,KY,no
37.7790262,-122.419906,Wells Fargo,80303,-0.227,3301,161521,268531,82407,2.6,21548,184225,247848,Financials,San Francisco,CA,no
40.7127281,-74.0060152,Pfizer,41908,-0.19,9616,202096.9,78500,81288,94,21979,292385.3,79000,Health Care,New York,NY,no
40.7127281,-74.0060152,Citigroup,88839,-0.141,11047,151806.4,210153,79865,-10.1,21952,105330.1,221768,Financials,New York,NY,yes
41.0409305,-73.7145746,PepsiCo,70372,0.048,7120,195207.7,291000,79474,12.9,7618,231528.2,309000,"Food, Beverages & Tobacco",Purchase,NY,no
37.3541132,-121.955174,Intel,77867,0.082,20899,260630.1,110600,79024,1.5,19868,202635.8,121100,Technology,Santa Clara,CA,no
39.1014537,-84.5124602,Procter & Gamble,70950,0.048,13027,333493.1,99000,76118,7.3,14306,366271.6,101000,Household Products,Cincinnati,OH,no
42.3554334,-71.060511,General Electric,79619,-0.164,5704,115342.5,184000,74196,-6.8,-6520,100810.2,168000,Industrials,Boston,MA,no
40.7127281,-74.0060152,MetLife,67842,-0.026,5407,53762.6,46500,71080,4.8,6554,57986.5,43000,Financials,New York,NY,no
40.735657,-74.1723667,Prudential Financial,57033,-0.12,-374,36022.4,41671,70934,24.4,7724,44482.2,40916,Financials,Newark,NJ,no
43.6166163,-116.200886,Albertsons,62455.1,0.032,466.4,8877.7,270000,69690.4,11.6,850.2,16063.7,300000,Food & Drug Stores,Boise,ID,no
34.1812089,-118.307201,Walt Disney,65388,-0.06,-2864,334952.5,203000,67418,3.1,1995,249718.1,171000,Media,Burbank,CA,no
32.7762719,-96.7968559,Energy Transfer,38954,-0.281,-648,20754.7,11421,67417,73.1,5470,34496.9,12558,Energy,Dallas,TX,no
38.9814093,-77.1178538,Lockheed Martin,65398,0.093,6833,102984.2,114000,67044,2.5,6315,117648.2,114000,Aerospace & Defense,Bethesda,MD,no
38.9342888,-77.1776327,Freddie Mac,66228,-0.118,7326,1332.6,6922,65898,-0.5,12109,510.3,7301,Financials,McLean,VA,no
40.7127281,-74.0060152,Goldman Sachs Group,53498,-0.008,9459,116903,40500,64989,21.5,21635,117667.6,43900,Financials,New York,NY,no
42.3756401,-71.2358004,Raytheon Technologies,56587,-0.266,-3519,117143.9,181000,64388,13.8,3864,147640.9,174000,Aerospace & Defense,Waltham,MA,no
37.4443293,-122.1598465,HP,56639,-0.036,2844,39579.5,53000,63487,12.1,6503,38237.2,51000,Technology,Palo Alto,CA,no
41.8755616,-87.6244212,Boeing,58158,-0.24,-11873,148664.8,141000,62286,7.1,-4202,113058.7,142000,Aerospace & Defense,Chicago,IL,no
40.7127281,-74.0060152,Morgan Stanley,52047,-0.033,10996,146161.9,68097,61121,17.4,15034,155685.6,74814,Financials,New York,NY,no
36.1622767,-86.7742984,HCA Healthcare,51533,0.004,3754,63458.7,235000,58752,14,6956,75691.9,244000,Health Care,Nashville,TN,no
42.325578,-87.8411818,AbbVie,45804,0.377,4616,190989.4,47000,56197,22.7,11542,286332.4,50000,Health Care,North Chicago,IL,no
43.6155825,-84.2472117,Dow,38542,-0.103,1225,47649.7,35700,54968,42.6,6311,46839.7,35700,Chemicals,Midland,MI,no
30.2711286,-97.7436995,Tesla,31536,0.283,721,641115,70757,53823,70.7,5519,1113707.8,99290,Motor Vehicles & Parts,Austin,TX,no
42.128704,-87.8265089,Allstate,44791,0.003,5576,34800.2,42010,53228,18.8,1599,38553.7,54500,Financials,Northbrook,IL,no
44.8766431,-93.2877877,Best Buy,47262,0.083,1798,28707.7,81600,51761,9.5,2454,20473.2,81375,Retailing,Richfield,MN,yes
41.0534302,-73.5387341,Charter Communications,48097,0.051,3222,128965.7,96100,51682,7.5,4654,112803.4,93700,Telecommunications,Stamford,CT,no
29.7589382,-95.3676974,Sysco,52893.3,-0.12,215.5,40189.8,57000,51297.8,-3,524.2,41433.1,57710,Wholesalers,Houston,TX,no
40.6760225,-74.289262,Merck,47994,0.025,7067,195062,73500,51216,6.7,13049,207400.5,67500,Health Care,Kenilworth,NJ,no
42.1711365,-87.8445119,Caterpillar,41748,-0.224,2998,126439.6,97300,50971,22.1,6489,119406.6,107700,Industrials,Deerfield,IL,no
37.3361663,-121.890591,Cisco Systems,49301,-0.05,11214,218308.5,77500,49818,1,10591,231636.4,79500,Technology,San Jose,CA,no
42.2773177,-71.4165905,TJX,32137,-0.23,90.5,79774.9,320000,48550,51.1,3282.8,71195.3,340000,Retailing,Framingham,MA,no
29.7589382,-95.3676974,ConocoPhillips,19256,-0.475,-2701,71623.4,9700,48349,151.1,8079,129605.1,9900,Energy,Houston,TX,no
41.53638285,-81.45873093,Progressive,42658.1,0.093,5704.6,55946.5,43326,47702,11.8,3350.9,66670.3,49077,Financials,Mayfield Village,OH,yes
36.1867442,-94.1288142,Tyson Foods,43185,0.018,2061,27099.6,139000,47049,8.9,3047,32487.8,137000,"Food, Beverages & Tobacco",Springdale,AR,no
40.7127281,-74.0060152,Bristol-Myers Squibb,42518,0.626,-9015,141027.9,30250,46385,9.1,6994,155203.5,32200,Health Care,New York,NY,no
45.4871723,-122.80378,Nike,37403,-0.044,2539,209499.8,75400,44538,19.1,5727,212779.1,73300,Apparel,Beaverton,OR,no
41.5058344,-90.5136642,Deere,35540,-0.095,2751,117270,69634,44024,23.9,5963,127456.6,75550,Industrials,Moline,IL,no
40.7127281,-74.0060152,American Express,38185,-0.188,3135,113635.8,63700,43663,14.3,8060,141613,64000,Financials,New York,NY,no
41.71961645,-87.62209127,Abbott Laboratories,34608,0.085,4495,212300.1,109000,43075,24.5,7071,208725.8,113000,Health Care,Abbott Park,IL,no
29.7589382,-95.3676974,Plains GP Holdings,23290,-0.308,-568,1824.5,4400,42078,80.7,60,2242.9,4100,Energy,Houston,TX,no
29.7589382,-95.3676974,Enterprise Products Partners,27199.7,-0.17,3775.6,48038.8,7130,40806.9,50,4637.7,56172.4,6911,Energy,Houston,TX,no
30.2711286,-97.7436995,Oracle,39068,-0.011,10135,202337.7,135000,40479,3.6,13746,220736.6,132000,Technology,Austin,TX,yes
42.3756401,-71.2358004,Thermo Fisher Scientific,32218,0.261,6375,179719.4,84362,39211,21.7,7725,231057.4,129000,Technology,Waltham,MA,no
33.7489924,-84.3902644,Coca-Cola,33014,-0.114,7747,227143.8,80300,38655,17.1,9771,268769.7,79000,"Food, Beverages & Tobacco",Atlanta,GA,no
38.9583737,-77.3579805,General Dynamics,37925,-0.036,3167,51481.9,100700,38469,1.4,3257,67081,103100,Aerospace & Defense,Reston,VA,yes
35.2272086,-80.8430827,Nucor,20139.7,-0.108,721.5,23975.7,26400,36483.9,81.2,6827.5,39954,28800,Materials,Charlotte,NC,no
41.8755616,-87.6244212,Exelon,33039,-0.041,1963,42723.5,32340,36347,10,1706,46683.9,31518,Energy,Chicago,IL,no
38.882334,-77.1710914,Northrop Grumman,36799,0.087,3189,53956.7,97000,35667,-3.1,7005,69811.9,88000,Aerospace & Defense,Falls Church,VA,yes
44.9497487,-93.0931028,3M,32184,0.001,5384,111642.1,94987,35355,9.9,5921,84738.3,95000,Chemicals,St. Paul,MN,no
40.7127281,-74.0060152,Travelers,31981,0.013,2697,37933,30294,34816,8.9,3662,44129.4,30492,Financials,New York,NY,no
39.579155,-104.8769227,Arrow Electronics,28673.4,-0.008,584.4,8267.5,19600,34477,20.2,1108.2,7951.3,20700,Wholesalers,Centennial,CO,no
35.2272086,-80.8430827,Honeywell International,32637,-0.111,4779,150972.4,103000,34392,5.4,5542,133381,99000,Industrials,Charlotte,NC,no
36.3349115,-86.70533913,Dollar General,33746.8,0.216,2655.1,48479.7,158000,34220.4,1.4,2399.2,50953,163000,Retailing,Goodlettsville,TN,no
32.7174202,-117.1627728,Qualcomm,23531,-0.031,5198,150622.2,41000,33566,42.6,9043,172228.1,45000,Technology,San Diego,CA,no
38.9342888,-77.1776327,Capital One Financial,31643,-0.063,2714,58097,51985,32033,1.2,12390,53260.4,50767,Financials,McLean,VA,no
37.5482697,-121.988571,TD Synnex,24675.6,0.039,529.2,5874.5,277900,31614.2,28.1,395.1,9853.6,27000,Wholesalers,Fremont,CA,no
40.7127281,-74.0060152,Philip Morris International,28694,-0.037,8056,138302.4,71000,31405,9.4,9109,145614.7,69600,"Food, Beverages & Tobacco",New York,NY,no
25.7741728,-80.19362,World Fuel Services,20358.3,-0.447,109.6,2222,4300,31337,53.9,73.7,1715.5,4414,Energy,Miami,FL,no
37.5385087,-77.43428,Performance Food Group,25086.3,0.271,-114.1,7705.3,20000,30398.9,21.2,40.7,7880.9,22885,Wholesalers,Richmond,VA,no
33.7489924,-84.3902644,Delta Air Lines,17095,-0.636,-12385,30809.7,74000,29899,74.9,280,25322,83000,Transportation,Atlanta,GA,no
32.753177,-97.3327459,American Airlines Group,17337,-0.621,-8885,15328.8,102700,29882,72.4,-1993,11847.2,123400,Transportation,Fort Worth,TX,no
37.226611,-121.9746797,Netflix,24996.1,0.24,2761.4,231040.7,9400,29697.8,18.8,5116.2,166304.1,11300,Media,Los Gatos,CA,no
41.9941334,-87.8756737,US Foods Holding,22885,-0.118,-226,8427.5,26000,29487,28.8,164,8392.3,28000,Wholesalers,Rosemont,IL,no
